SKU_ID,Product_Name,Category,Current_Stock,Forecast,Sales_Trend_Last_30_Days,Supplier_Lead_Time,Location,On_Order
P-101,Clothing Item 1,Clothing,177,165,174,20,NJ,138
P-102,Electronics Item 2,Electronics,183,100,169,26,FL,0
P-103,Toys Item 3,Toys,86,282,257,7,FL,235
P-104,Toys Item 4,Toys,70,126,194,17,TX,0
P-105,Clothing Item 5,Clothing,176,197,185,17,CA,0
P-106,Home Item 6,Home,80,262,239,25,FL,218
P-107,Clothing Item 7,Clothing,476,189,143,27,TX,0
P-108,Home Item 8,Home,295,109,94,23,FL,0
P-109,Toys Item 9,Toys,170,85,75,24,NY,0
P-110,Toys Item 10,Toys,134,115,118,27,NY,0
P-111,Toys Item 11,Toys,106,167,328,22,NJ,0
P-112,Electronics Item 12,Electronics,205,186,189,12,NJ,0
P-113,Sports Item 13,Sports,9,134,126,23,NJ,0
P-114,Clothing Item 14,Clothing,153,139,140,13,TX,0
P-115,Toys Item 15,Toys,108,192,271,17,TX,0
P-116,Clothing Item 16,Clothing,191,172,174,26,FL,0
P-117,Clothing Item 17,Clothing,348,145,126,23,NY,0
P-118,Home Item 18,Home,40,181,186,3,FL,0
P-119,Home Item 19,Home,2,78,82,20,NY,0
P-120,Electronics Item 20,Electronics,162,163,160,28,NJ,0
P-121,Toys Item 21,Toys,93,119,157,27,CA,0
P-122,Toys Item 22,Toys,167,153,149,15,NJ,0
P-123,Electronics Item 23,Electronics,118,144,154,22,NY,0
P-124,Clothing Item 24,Clothing,23,132,122,9,NJ,0
P-125,Clothing Item 25,Clothing,37,138,140,3,FL,0
P-126,Clothing Item 26,Clothing,93,171,286,22,NJ,0
P-127,Toys Item 27,Toys,183,163,170,7,FL,0
P-128,Home Item 28,Home,470,199,139,14,NY,0
P-129,Home Item 29,Home,53,89,144,9,FL,0
P-130,Electronics Item 30,Electronics,104,108,105,15,NY,0
P-131,Electronics Item 31,Electronics,155,150,155,19,NY,0
P-132,Toys Item 32,Toys,204,190,174,11,TX,0
P-133,Electronics Item 33,Electronics,67,85,113,14,NY,0
P-134,Clothing Item 34,Clothing,58,52,48,17,FL,0
P-135,Home Item 35,Home,153,197,291,21,NY,0
P-136,Toys Item 36,Toys,143,169,165,29,TX,0
P-137,Clothing Item 37,Clothing,21,130,134,7,CA,0
P-138,Sports Item 38,Sports,127,117,119,4,NJ,0
P-139,Home Item 39,Home,115,99,107,18,CA,0
P-140,Electronics Item 40,Electronics,242,88,70,11,NY,0
P-141,Sports Item 41,Sports,86,86,82,17,NY,0
P-142,Toys Item 42,Toys,109,118,126,14,NY,0
P-143,Toys Item 43,Toys,260,98,85,5,TX,0
P-144,Sports Item 44,Sports,200,188,187,24,TX,0
P-145,Sports Item 45,Sports,85,86,92,11,NY,0
P-146,Clothing Item 46,Clothing,76,101,132,21,NY,0
P-147,Electronics Item 47,Electronics,189,178,168,28,TX,0
P-148,Electronics Item 48,Electronics,112,94,98,19,NJ,0
P-149,Sports Item 49,Sports,35,53,104,10,NY,0
P-150,Sports Item 50,Sports,13,111,117,4,NY,0
P-151,Home Item 51,Home,52,72,132,3,FL,0
P-152,Sports Item 52,Sports,150,188,187,16,CA,0
P-153,Home Item 53,Home,50,79,149,21,TX,0
P-154,Home Item 54,Home,46,59,82,4,FL,0
P-155,Electronics Item 55,Electronics,82,99,107,9,TX,0
P-156,Electronics Item 56,Electronics,144,171,163,25,NY,0
P-157,Electronics Item 57,Electronics,150,166,149,11,NJ,0
P-158,Clothing Item 58,Clothing,185,167,181,24,NY,0
P-159,Home Item 59,Home,394,177,146,6,FL,0
P-160,Sports Item 60,Sports,169,198,196,20,CA,0
P-161,Clothing Item 61,Clothing,129,195,273,5,NJ,0
P-162,Home Item 62,Home,3,54,50,18,NJ,0
P-163,Home Item 63,Home,61,73,76,14,TX,0
P-164,Home Item 64,Home,183,177,191,15,TX,0
P-165,Home Item 65,Home,36,69,100,4,FL,0
P-166,Clothing Item 66,Clothing,109,117,123,22,NY,0
P-167,Clothing Item 67,Clothing,31,62,90,30,NJ,0
P-168,Toys Item 68,Toys,127,168,271,26,NY,0
P-169,Toys Item 69,Toys,136,121,111,13,NJ,0
P-170,Electronics Item 70,Electronics,65,74,76,19,CA,0
P-171,Sports Item 71,Sports,342,166,142,9,TX,0
P-172,Home Item 72,Home,73,89,95,7,NJ,0
P-173,Home Item 73,Home,53,51,50,29,CA,0
P-174,Sports Item 74,Sports,106,154,227,21,CA,0
P-175,Electronics Item 75,Electronics,171,178,187,30,TX,0
P-176,Toys Item 76,Toys,59,118,175,14,TX,0
P-177,Toys Item 77,Toys,59,66,69,25,CA,0
P-178,Sports Item 78,Sports,135,60,51,18,NY,0
P-179,Toys Item 79,Toys,66,63,56,11,NY,0
P-180,Toys Item 80,Toys,143,179,191,19,CA,0
P-181,Electronics Item 81,Electronics,162,163,151,20,NJ,0
P-182,Home Item 82,Home,175,194,205,18,NY,0
P-183,Home Item 83,Home,139,119,124,11,NJ,0
P-184,Electronics Item 84,Electronics,154,135,124,22,FL,0
P-185,Clothing Item 85,Clothing,363,125,96,28,CA,0
P-186,Electronics Item 86,Electronics,112,160,219,28,FL,0
P-187,Electronics Item 87,Electronics,63,61,55,17,FL,0
P-188,Clothing Item 88,Clothing,124,200,276,29,FL,0
P-189,Clothing Item 89,Clothing,219,81,70,9,TX,0
P-190,Sports Item 90,Sports,14,63,58,13,FL,0
P-191,Electronics Item 91,Electronics,73,78,74,16,TX,0
P-192,Home Item 92,Home,164,196,194,30,NJ,0
P-193,Toys Item 93,Toys,165,157,152,17,NY,0
